Nazwa,Rok,Szpitale,Pielegniarki_Polozne,Lekarze,Apteki,Punkty_apteczne,Osoby_swiadczenia_spoleczne,Placowki_ambulatoryjne,Ludnosc,Lozka
Warmińsko-Mazurskie,2022,43.0,7417.0,3720.0,388.0,31.0,77890.0,882.0,1366430.0,6336.0
Warmińsko-Mazurskie,2023,42.0,8044.0,4113.0,384.0,29.0,76338.0,907.0,1357910.0,6219.0
Warmińsko-Mazurskie,2024,41.0,8216.0,4357.0,370.0,27.0,69545.0,916.0,1349172.0,6128.0
Wielkopolskie,2009,61.0,14997.0,9449.0,1013.0,104.0,206609.0,1401.0,3408281.0,15923.0
Wielkopolskie,2010,66.0,15421.0,9974.0,1027.0,109.0,209712.0,1493.0,3446745.0,15633.0
Wielkopolskie,2011,65.0,15388.0,9889.0,1053.0,103.0,206592.0,1783.0,3455477.0,15617.0
Wielkopolskie,2012,67.0,17012.0,11383.0,1137.0,116.0,201699.0,1801.0,3462196.0,16118.0
Wielkopolskie,2013,64.0,15840.0,10846.0,1155.0,114.0,212722.0,1807.0,3467016.0,14659.0
Wielkopolskie,2014,63.0,17133.0,13537.0,1185.0,113.0,201650.0,1817.0,3472579.0,15665.0
Wielkopolskie,2015,65.0,15949.0,12705.0,1234.0,123.0,187377.0,1851.0,3475323.0,15756.0
Wielkopolskie,2016,60.0,15268.0,12523.0,1299.0,126.0,169121.0,1932.0,3481625.0,15422.0
